,index,name,full_name,score
0,642,258.pdf,train/258.pdf,0.3949731162819867
1,13,1225.pdf,train/1225.pdf,0.37474391335140605
2,1367,1820.pdf,train/1820.pdf,0.3414752395268891
3,470,2214.pdf,train/2214.pdf,0.33783309109269594
4,838,1270.pdf,train/1270.pdf,0.3306826889516182
5,934,2026.pdf,train/2026.pdf,0.32960223036855457
6,835,2221.pdf,train/2221.pdf,0.327112700429083
7,359,1939.pdf,train/1939.pdf,0.3234663451544084
8,527,1522.pdf,train/1522.pdf,0.3216912641746853
9,1307,1789.pdf,train/1789.pdf,0.31384985389504916
10,128,2303.pdf,train/2303.pdf,0.3098466664237768
11,177,204.pdf,train/204.pdf,0.30839309902201845
12,1437,86.pdf,train/86.pdf,0.30275520349993285
13,207,827.pdf,train/827.pdf,0.29946554051373614
14,96,1030.pdf,train/1030.pdf,0.29567295303766694
15,1489,179.pdf,train/179.pdf,0.2953311653608656
16,492,470.pdf,train/470.pdf,0.2927531775504186
17,1025,709.pdf,train/709.pdf,0.29197872934906
18,505,1132.pdf,train/1132.pdf,0.29105252819123895
19,1143,1364.pdf,train/1364.pdf,0.29004223883138686
20,963,1856.pdf,train/1856.pdf,0.289652352794792
21,360,513.pdf,train/513.pdf,0.28778078781029065
22,839,1516.pdf,train/1516.pdf,0.2875794714469408
23,1137,627.pdf,train/627.pdf,0.28739091129821226
24,786,321.pdf,train/321.pdf,0.2848352203633606
25,1245,354.pdf,train/354.pdf,0.2848308424053426
26,658,933.pdf,train/933.pdf,0.2841057460075698
27,1284,2055.pdf,train/2055.pdf,0.2836651051462867
28,449,1079.pdf,train/1079.pdf,0.28235901828043314
29,791,862.pdf,train/862.pdf,0.27996990672025185
30,1326,1014.pdf,train/1014.pdf,0.2765250779796604
31,72,1542.pdf,train/1542.pdf,0.27620840804086233
32,656,1294.pdf,train/1294.pdf,0.27210970719705735
33,493,464.pdf,train/464.pdf,0.2719301577559529
34,904,1503.pdf,train/1503.pdf,0.2716828550176181
35,763,446.pdf,train/446.pdf,0.2702462367750203
36,1481,810.pdf,train/810.pdf,0.2698132841836684
37,892,849.pdf,train/849.pdf,0.2694376145130102
38,308,1624.pdf,train/1624.pdf,0.26889498647818744
39,852,684.pdf,train/684.pdf,0.26734541087080904
40,298,818.pdf,train/818.pdf,0.26618740682721864
41,289,165.pdf,train/165.pdf,0.2660612967633369
42,665,112.pdf,train/112.pdf,0.26453592879169746
43,907,732.pdf,train/732.pdf,0.2640081781381785
44,356,212.pdf,train/212.pdf,0.261981140780636
45,1200,1952.pdf,train/1952.pdf,0.26182776157020415
46,92,1959.pdf,train/1959.pdf,0.2616711305021075
47,685,488.pdf,train/488.pdf,0.2599794777283547
48,374,1291.pdf,train/1291.pdf,0.2599319111267905
49,1272,1372.pdf,train/1372.pdf,0.2598393823084715
50,1043,872.pdf,train/872.pdf,0.2596621727960597
51,1061,480.pdf,train/480.pdf,0.2593958053309323
52,782,309.pdf,train/309.pdf,0.25764757844874325
53,1475,1823.pdf,train/1823.pdf,0.25713603062849194
54,740,1059.pdf,train/1059.pdf,0.25658487728855
55,421,2389.pdf,train/2389.pdf,0.256446323293922
56,983,455.pdf,train/455.pdf,0.2564082096941531
57,457,274.pdf,train/274.pdf,0.25609801587153946
58,1290,786.pdf,train/786.pdf,0.25606884519280343
59,1376,1.pdf,train/1.pdf,0.2546899374102056
60,1413,1956.pdf,train/1956.pdf,0.25449524390444805
61,600,1679.pdf,train/1679.pdf,0.2544311612519468
62,402,473.pdf,train/473.pdf,0.2532890392127982
63,355,1792.pdf,train/1792.pdf,0.25276050888392754
64,375,739.pdf,train/739.pdf,0.25173528405655754
65,1211,208.pdf,train/208.pdf,0.25164268228225567
66,313,2310.pdf,train/2310.pdf,0.251628497892389
67,1403,1029.pdf,train/1029.pdf,0.25118258425859274
68,1156,1199.pdf,train/1199.pdf,0.2509526412702962
69,89,201.pdf,train/201.pdf,0.2508427060326322
70,1365,344.pdf,train/344.pdf,0.2506356553486085
71,859,445.pdf,train/445.pdf,0.2502312261938757
72,1405,230.pdf,train/230.pdf,0.25005479870459196
73,818,296.pdf,train/296.pdf,0.24974011282071662
74,353,1779.pdf,train/1779.pdf,0.24960052511337688
75,380,936.pdf,train/936.pdf,0.24921605108792494
76,583,475.pdf,train/475.pdf,0.2491429621245777
77,393,1440.pdf,train/1440.pdf,0.24887817400724355
78,489,2176.pdf,train/2176.pdf,0.24840246521878062
79,694,1444.pdf,train/1444.pdf,0.24777625338479645
80,448,2216.pdf,train/2216.pdf,0.2473455475741894
81,1141,1416.pdf,train/1416.pdf,0.24703440331250215
82,894,1463.pdf,train/1463.pdf,0.2468602104691731
83,1451,346.pdf,train/346.pdf,0.24670188386088326
84,1412,2287.pdf,train/2287.pdf,0.24656582545116032
85,266,1975.pdf,train/1975.pdf,0.24640161572246472
86,883,450.pdf,train/450.pdf,0.24632511564715728
87,240,66.pdf,train/66.pdf,0.24626300836857057
88,1058,1896.pdf,train/1896.pdf,0.24605922506375044
89,1462,391.pdf,train/391.pdf,0.24577603318336175
90,140,1186.pdf,train/1186.pdf,0.24574518772069992
91,1517,2292.pdf,train/2292.pdf,0.2456574368306998
92,610,2172.pdf,train/2172.pdf,0.2453309236300283
93,1450,1822.pdf,train/1822.pdf,0.24532214831081475
94,1069,1673.pdf,train/1673.pdf,0.24483187661067823
95,758,23.pdf,train/23.pdf,0.24470080153105725
96,777,1886.pdf,train/1886.pdf,0.2446271114109926
97,916,281.pdf,train/281.pdf,0.2444784347297396
98,405,1865.pdf,train/1865.pdf,0.2444512046671446
99,1296,745.pdf,train/745.pdf,0.24437875481793694
100,1236,1367.pdf,train/1367.pdf,0.244153396313103
101,197,1551.pdf,train/1551.pdf,0.24393204802286525
102,110,2129.pdf,train/2129.pdf,0.24383504094993513
103,1034,2019.pdf,train/2019.pdf,0.24369341904033526
104,1471,1638.pdf,train/1638.pdf,0.24365298695759915
105,342,2099.pdf,train/2099.pdf,0.24362412919989201
106,559,703.pdf,train/703.pdf,0.2435367874787388
107,788,2155.pdf,train/2155.pdf,0.24341684194873342
108,853,34.pdf,train/34.pdf,0.2430518253736153
109,1115,237.pdf,train/237.pdf,0.24283531601341865
110,879,478.pdf,train/478.pdf,0.24260061819198545
111,1005,1076.pdf,train/1076.pdf,0.24250103017083996
112,148,189.pdf,train/189.pdf,0.24245532765129682
113,156,2060.pdf,train/2060.pdf,0.2423839189470428
114,973,483.pdf,train/483.pdf,0.24224720256311605
115,1138,83.pdf,train/83.pdf,0.2420511906484778
116,1250,397.pdf,train/397.pdf,0.24201557096323592
117,1283,976.pdf,train/976.pdf,0.24175899730263933
118,60,808.pdf,train/808.pdf,0.24160898187549765
119,44,1608.pdf,train/1608.pdf,0.24155071420469088
120,105,956.pdf,train/956.pdf,0.24153492852600109
121,946,31.pdf,train/31.pdf,0.24147524522628422
122,216,1828.pdf,train/1828.pdf,0.24138013674588166
123,536,1708.pdf,train/1708.pdf,0.24102500931534948
